School_Name,School_Sector,ICSEA
Abbotsford Public School,Government,1108
Knox Grammar School,Independent,1170
Moriah College,Independent,1135
Tangara School for Girls,Independent,1135
Alexandria Park Community School,Government,1028
All Hallows Catholic Primary School,Catholic,1106
Allambie Heights Public School,Government,1121
Annandale North Public School,Government,1148
Annandale Public School,Government,1115
Artarmon Public School,Government,1177
Asquith Public School,Government,1095
Avalon Public School,Government,1096
Balgowlah Heights Public School,Government,1177
Balgowlah North Public School,Government,1143
Balmain Public School,Government,1169
Banksmeadow Public School,Government,1024
Beacon Hill Public School,Government,1088
Beaumont Road Public School,Government,1191
Beauty Point Public School,Government,1168
Beecroft Public School,Government,1182
Reddam House,Independent,1189
Bellevue Hill Public School,Government,1155
Belrose Public School,Government,1104
Birchgrove Public School,Government,1137
Bondi Beach Public School,Government,1124
Botany Public School,Government,1060
Bronte Public School,Government,1162
Camdenville Public School,Government,1118
Clovelly Public School,Government,1151
Berowra Public School,Government,1098
Coogee Public School,Government,1131
Darlington Public School,Government,1023
Double Bay Public School,Government,1148
Drummoyne Public School,Government,1134
Five Dock Public School,Government,1079
Forest Lodge Public School,Government,1152
Fort Street Public School,Government,1118
Glenmore Road Public School,Government,1177
Haberfield Public School,Government,1133
Kegworth Public School,Government,1113
Bilgola Plateau Public School,Government,1109
Kensington Public School,Government,1120
Malabar Public School,Government,1077
Maroubra Bay Public School,Government,1075
Mascot Public School,Government,1028
Matraville Public School,Government,1012
Newtown North Public School,Government,1142
Nicholson Street Public School,Government,1136
Orange Grove Public School,Government,1130
Rainbow Street Public School,Government,1124
Rose Bay Public School,Government,1141
St Peters Public School,Government,1107
Ultimo Public School,Government,1075
Vaucluse Public School,Government,1134
South Coogee Public School,Government,1096
Dobroyd Point Public School,Government,1151
Pagewood Public School,Government,1099
Crown Street Public School,Government,1108
Tempe Public School,Government,1086
Bondi Public School,Government,1147
Waverley Public School,Government,1136
Matraville Soldiers Settlement Public School,Government,950
Erskineville Public School,Government,1137
Boronia Park Public School,Government,1141
Randwick Public School,Government,1159
Bourke Street Public School,Government,1124
Chifley Public School,Government,932
Lewisham Public School,Government,1098
Petersham Public School,Government,1150
Eastlakes Public School,Government,1034
Sydney Distance Education Primary School,Government,1128
Brooklyn Public School,Government,1083
Brookvale Public School,Government,1052
Daceyville Public School,Government,1032
Darlinghurst Public School,Government,1154
Gardeners Road Public School,Government,1038
Glebe Public School,Government,1017
Leichhardt Public School,Government,1127
Maroubra Junction Public School,Government,1113
Newtown Public School,Government,1133
Paddington Public School,Government,1138
Rozelle Public School,Government,1153
Stanmore Public School,Government,1117
Woollahra Public School,Government,1177
Cammeray Public School,Government,1183
Carlingford Public School,Government,1111
Carlingford West Public School,Government,1136
Seaforth Public School,Government,1148
Cowan Public School,Government,1027
Dee Why Public School,Government,1014
Epping Public School,Government,1155
Epping West Public School,Government,1150
Castle Cove Public School,Government,1165
Ermington Public School,Government,1117
Frenchs Forest Public School,Government,1125
Gladesville Public School,Government,1122
Greenwich Public School,Government,1171
Harbord Public School,Government,1130
Hunters Hill Public School,Government,1162
Lane Cove Public School,Government,1160
Lindfield Public School,Government,1175
Lindfield East Public School,Government,1175
Manly West Public School,Government,1146
Middle Harbour Public School,Government,1154
Mona Vale Public School,Government,1097
Narrabeen Lakes Public School,Government,1052
Neutral Bay Public School,Government,1172
Newport Public School,Government,1090
Normanhurst Public School,Government,1138
Northbridge Public School,Government,1173
Chatswood Public School,Government,1154
North Sydney Public School,Government,1148
Pennant Hills Public School,Government,1140
Cherrybrook Public School,Government,1151
West Pennant Hills Public School,Government,1122
Putney Public School,Government,1114
Roseville Public School,Government,1182
Ryde Public School,Government,1091
North Ryde Public School,Government,1132
West Ryde Public School,Government,1127
Terrey Hills Public School,Government,1099
Turramurra North Public School,Government,1155
Waitara Public School,Government,1157
Warrawee Public School,Government,1170
Willoughby Public School,Government,1150
Pymble Public School,Government,1187
Narraweena Public School,Government,1062
Wahroonga Public School,Government,1158
Melrose Park Public School,Government,1079
Turramurra Public School,Government,1174
Denistone East Public School,Government,1141
Meadowbank Public School,Government,1119
Mount Colah Public School,Government,1090
Narrabeen North Public School,Government,1072
Lane Cove West Public School,Government,1163
Killara Public School,Government,1156
Curl Curl North Public School,Government,1104
Gordon West Public School,Government,1160
Manly Village Public School,Government,1144
Collaroy Plateau Public School,Government,1108
Gordon East Public School,Government,1168
Mowbray Public School,Government,1159
Forestville Public School,Government,1120
Manly Vale Public School,Government,1118
Epping Heights Public School,Government,1155
Eastwood Heights Public School,Government,1139
Mount Kuring-gai Public School,Government,1076
Kent Road Public School,Government,1140
Truscott Street Public School,Government,1124
Epping North Public School,Government,1157
Elanora Heights Public School,Government,1084
Cromer Public School,Government,1091
Wheeler Heights Public School,Government,1085
Ryde East Public School,Government,1116
Hornsby Heights Public School,Government,1095
Normanhurst West Public School,Government,1135
Thornleigh West Public School,Government,1128
West Pymble Public School,Government,1140
St Ives North Public School,Government,1191
Roselea Public School,Government,1114
St Ives Public School,Government,1156
Hornsby North Public School,Government,1158
Wakehurst Public School,Government,1116
Killarney Heights Public School,Government,1151
St Ives Park Public School,Government,1128
Murray Farm Public School,Government,1153
Mimosa Public School,Government,1109
Wideview Public School,Government,1090
Kambora Public School,Government,1131
John Purchase Public School,Government,1151
Hornsby South Public School,Government,1115
Corpus Christi Catholic Primary School,Catholic,1146
Eastwood Public School,Government,1132
Mosman Public School,Government,1151
Dundas Public School,Government,1070
Ermington West Public School,Government,1014
Galilee Catholic Primary School,Catholic,1119
Newington Public School,Government,1115
Holy Cross Catholic Primary School,Catholic,1164
Holy Family Catholic Primary School,Catholic,1195
Rydalmere Public School,Government,1017
Holy Spirit Catholic Primary School,Catholic,1114
Oatlands Public School,Government,1075
Telopea Public School,Government,1011
Rydalmere East Public School,Government,1007
Yates Avenue Public School,Government,1001
Maria Regina Catholic Primary School,Catholic,1102
McAuley Catholic Primary School,Catholic,1212
Our Lady Help of Christians Catholic Primary School,Catholic,1164
Our Lady of Dolours Catholic Primary School,Catholic,1150
Our Lady of Good Counsel Catholic Primary School,Catholic,1136
Our Lady of Perpetual Succour Catholic Primary School,Catholic,1185
Our Lady of the Annunciation Catholic Primary School,Catholic,1083
Our Lady of the Rosary Catholic Primary School,Catholic,1147
Our Lady of the Rosary Catholic Primary School,Catholic,1152
Prouille Catholic Primary School,Catholic,1172
Sacred Heart Catholic Primary School,Catholic,1174
Sacred Heart Catholic Primary School,Catholic,1110
Sacred Heart Catholic Primary School,Catholic,1110
St Agatha's Catholic Primary School,Catholic,1140
St Andrew's Catholic Primary School,Catholic,1064
St Anthony's Catholic Primary School,Catholic,1131
St Anthony's Catholic Primary School,Catholic,1137
St Bernadette's Primary School,Catholic,1074
St Bernadette's Primary School,Catholic,1074
St Bernard's Catholic Primary School,Catholic,1120
St Bernard's Catholic Primary School,Catholic,1100
St Brendan's Catholic Primary School,Catholic,1165
St Brigid's Catholic Primary School,Catholic,1153
St Cecilia's Catholic Primary School,Catholic,1163
St Columba's Catholic Primary School,Catholic,1158
St Fiacre's Catholic Primary School,Catholic,1137
St Francis of Assisi Regional Catholic Primary School,Catholic,1197
St Gerard's Catholic Primary School,Catholic,1142
St James Catholic Primary School,Catholic,1123
St John the Apostle Catholic Primary School,Catholic,1097
St John the Baptist Catholic Primary School,Catholic,1157
St Joseph's Catholic Primary School,Catholic,1111
St Kevin's Catholic Primary School,Catholic,1081
St Kevin's Catholic Primary School,Catholic,1120
St Kieran's Catholic Primary School,Catholic,1135
St Margaret Mary's Catholic Primary School,Catholic,1155
St Martin's Catholic Primary School,Catholic,1113
St Mary's Catholic Primary School,Catholic,1154
St Mary's Primary School,Catholic,1079
St Michael's Catholic Primary School,Catholic,1109
St Michael's Catholic Primary School,Catholic,1119
St Michael's Catholic Primary School,Catholic,1141
St Patrick's Catholic Primary School,Catholic,1124
St Philip Neri Catholic Primary School,Catholic,1193
St Pius' Catholic Primary School,Catholic,1102
St Rose Catholic Primary School,Catholic,1113
St Therese Catholic Primary School,Catholic,1074
St Thomas' Catholic Primary School,Catholic,1173
Villa Maria Catholic Primary School,Catholic,1174
Sacred Heart Catholic Primary School,Catholic,1184
St Mary's Cathedral College,Catholic,1101
Our Lady of Mount Carmel Catholic Primary School,Catholic,857
Loreto Kirribilli,Independent,1187
Kincoppal - Rose Bay School of the Sacred Heart,Independent,1159
Covenant Christian School,Independent,1152
Mount Sinai College,Independent,1151
Abbotsleigh,Independent,1216
The Scots College,Independent,1110
Kesser Torah College,Independent,1081
St Andrew's Cathedral School,Independent,1167
Pymble Ladies' College,Independent,1182
Northside Montessori School,Independent,1153
Masada College,Independent,1142
Roseville College,Independent,1195
Wenona School,Independent,1168
Claremont College,Independent,1160
Northcross Christian School,Independent,1176
Italian Bilingual School,Independent,1134
Kambala,Independent,1140
International Grammar School,Independent,1167
Ravenswood School for Girls,Independent,1177
Ascham School,Independent,1135
Emanuel School,Independent,1183
Arden Anglican School,Independent,1128
John Colet School,Independent,1211
Inner Sydney Montessori School,Independent,1168
St Catherine's School,Independent,1167
St Luke's Grammar School,Independent,1157
Wahroonga Adventist School,Independent,1139
Mosman Church of England Preparatory School,Independent,1197
Northern Beaches Christian School,Independent,1134
Coogee Boys' Preparatory School,Independent,1154
Oxford Falls Grammar School,Independent,1136
Pittwater House Schools,Independent,1156
Anzac Park Public School,Government,1141
Lindfield Learning Village,Government,1160
